year,lender_id,lender_name
2004,4-0000008567,NORTHWEST FEDERAL SAVINGS BANK
2004,4-0000008575,COLOMBO BANK
2004,4-0000012002,"RAYMOND JAMES BANK, FSB"
2004,4-0000012117,FRONTIER BANK
2004,4-0000012642,WORLD SAVINGS BANK
2004,4-0000013558,HOMETRUST BANK
2004,4-0000013964,DOMESTIC BANK
2004,4-0000014191,MIDFIRST BANK
2004,4-0000014470,"CITICORP TRUST BANK, FSB"
2004,4-0000014640,STATE FARM BANK
2004,4-0000014684,STATEN ISLAND BANK & T C/O ICB
2004,4-0000014792,HICKORY POINT BANK & TRUST FSB
2004,4-0000014939,AIG FSB
2004,4-0000015100,ALLSTATE FEDERAL SAVINGS BANK
2004,4-0000015318,"HORIZON BANK, FSB"
2004,4-0000015365,"DORAL BANK, FSB"
2004,4-0000016084,MARINE BANK
2004,4-0000016782,ING DIRECT
2004,4-0000017079,BANK MUTUAL
2004,4-0000017777,Brookline Bank
2004,4-0000017910,"HARRINGTON BANK, FSB"
2004,4-0000017936,"GUARANTY BANK, FSB"
2004,4-0000017941,"CITIBANK (WEST), FSB"
2004,4-0000017954,PYRAMAX BANK
2004,4-0000017960,BANK @LANTEC
2004,5-0000000028,CENTRIS FEDERAL CREDIT UNION
