,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
1442,AMALGAMATED BK OF CHICAGO,30000-0000000903,,,,
1443,METROPOLITAN BANK & TRUST CO.,30000-0000000912,,,,
1444,MARQUETTE BANK ILLINOIS,30000-0000000924,,,,
1445,STATE BANK OF NIANTIC,30000-0000000932,,,,
1446,MASON STATE BANK,30000-0000001001,,,,
1447,CITIZENS STATE BANK,30000-0000001006,,,,
1448,THE BANK OF EDWARDSVILLE,30000-0000001039,,,,
1449,WOOD & HUSTON BANK,30000-0000001060,,,,
1450,NORMANDY BANK,30000-0000001063,,,,
1451,BREMEN BANK AND TRUST COMPANY,30000-0000001067,,,,
1452,JEFFERSON BANK & TRUST COMPANY,30000-0000001071,,,,
1453,ALLEGIANT BANK,30000-0000001078,,,,
1454,PEOPLES STATE BANK OF BLOOMER,30000-0000001135,,,,
1455,FIDELITY STATE BANK & TRUST CO,30000-0000001150,,,,
1456,THE FIRST BANK OF OKARCHE,30000-0000001165,,,,
1457,COMMUNITY STATE BANK,30000-0000001194,,,,
1458,COMMERCIAL STATE BANK,30000-0000001217,,,,
1459,WASHINGTON TRUST BANK,30000-0000001281,Washington Trust Bank,1197.0,153.0,100.0
1460,FIRST KANSAS BANK & TRUST CO.,30000-0000001367,,,,
1461,BANK OF GREENSBURG,30000-0000001372,,,,
1462,CITIZENS BANK AND TRUST COMPAN,30000-0000001376,,,,
1463,STATE BANK OF BELLE PLAINE,30000-0000001383,,,,
1464,LAKE AREA BANK,30000-0000001390,Lake Area Bank,677.0,155.0,100.0
1465,MINNWEST BANK CENTRAL,30000-0000001398,,,,
1466,PREFERRED BANK,30000-0000001414,,,,
1467,BANK OF WESTON,30000-0000001418,,,,
1468,BANK OF HOLLAND,30000-0000001464,,,,
1469,CROSBY STATE BANK,30000-0000001492,,,,
1470,COMERCIA BANK - TEXAS,30000-0000001493,,,,
1471,ASSOCIATED BANK MILWAUKEE,30000-0000001509,,,,
1472,S & C BANK CHIPPEWA,30000-0000001518,,,,
1473,BANK OF STOCKTON,30000-0000001536,,,,
1474,THE BANK OF MT. VERNON,30000-0000001557,,,,
1475,THE BANK OF ELK RIVER,30000-0000001607,,,,
1476,FIRST STATE BANK OF WYOMING,30000-0000001609,,,,
1477,BANK OF BELTON,30000-0000001623,,,,
1478,BANK OF LINCOLN COUNTY,30000-0000001643,,,,
1479,PEOPLES BANK OF THE OZARKS,30000-0000001650,,,,
1480,FIRST STATE BANK OF JOPLIN,30000-0000001652,,,,
1481,OZARK BANK,30000-0000001654,,,,
1482,BANK OF OLD MONROE,30000-0000001655,,,,
1483,FARMERS & MERCHANTS BANK OF SC,30000-0000001660,,,,
1484,THE FIRST WESTERN BANK CUSTER,30000-0000001685,,,,
1485,FIRST CLAIBORNE BANK,30000-0000001700,,,,
1486,THE MECHANICS BANK,30000-0000001768,Mechanics Bank,745.0,156.0,100.0
1487,COLORADO STATE BANK & TRUST,30000-0000001769,,,,
1488,THE MINNEQUA BANK OF PUEBLO,30000-0000001773,,,,
1489,FARMERS STATE BANK OF CALHAN,30000-0000001780,,,,
1490,FIRST STATE BANK SHANNON-POLO,30000-0000001781,,,,
1491,HARRIS BANK HUNTLEY,30000-0000001783,,,,
1492,HARRIS BANK WOODSTOCK,30000-0000001785,,,,
1493,ROCHESTER STATE BANK,30000-0000001787,,,,
1494,FIRST BANK OF OAK PARK,30000-0000001801,,,,
1495,DUNLAP BANK,30000-0000001808,,,,
1496,HARRIS BANK MARENGO,30000-0000001813,,,,
1497,STATE BANK OF LIZTON,30000-0000001833,,,,
1498,OSSIAN STATE BANK,30000-0000001837,,,,
1499,THE BIPPUS STATE BANK,30000-0000001847,,,,
1500,BROTHERHOOD BANK & TRUST,30000-0000001874,Brotherhood Bank & Trust,185.0,157.0,100.0
1501,THE PEOPLES BANK OF BULLITT CO,30000-0000001884,,,,
1502,FARMERS AND MERCHANTS BANK,30000-0000001895,,,,
1503,HAGERSTOWN TRUST,30000-0000001899,,,,
1504,ST. ANTHONY PARK STATE BANK,30000-0000001904,,,,
1505,FIRST STATE BANK CASTLE ROCK,30000-0000001913,,,,
1506,STATE BANK OF CHANHASSEN,30000-0000001914,,,,
1507,HAMPTON BANK,30000-0000001919,,,,
1508,SECURITY STATE BANK MAPLE LAKE,30000-0000001924,,,,
1509,MOUNTAIN IRON FIRST STATE BANK,30000-0000001928,,,,
1510,NEW MARKET BANK,30000-0000001931,,,,
1511,CITIZENS STATE BANK OF NORWOOD,30000-0000001933,,,,
1512,CITIZENS HOME BANK,30000-0000001949,,,,
1513,BANK 10,30000-0000001961,,,,
1514,THE EAST CAROLINA BANK,30000-0000002017,,,,
1515,CENTRAL CAROLINA BANK,30000-0000002033,,,,
1516,THE BANK OF CURRITUCK,30000-0000002039,,,,
1517,COMMODORE BANK,30000-0000002289,,,,
1518,FARMERS SAVINGS BANK,30000-0000002290,,,,
1519,THE BANK OF MAGNOLIA COMPANY,30000-0000002300,,,,
1520,ARMSTRONG BANK,30000-0000002315,,,,
1521,ARKANSAS VALLEY STATE BANK,30000-0000002326,,,,
1522,WEST COAST BANK,30000-0000002345,,,,
1523,MAUCH CHUNK TRUST COMPANY,30000-0000002359,,,,
1524,BANK OF SHARON,30000-0000002374,,,,
1525,BANK OF FRIENDSHIP,30000-0000002398,,,,
1526,MCFARLAND STATE BANK,30000-0000002476,,,,
1527,BANK OF DEERFIELD,30000-0000002477,,,,
1528,"BANK ONE, WISCONSIN",30000-0000002487,,,,
1529,FIRST FARMERS BANK AND TRUST,30000-0000002762,,,,
1530,ROCKY MOUNTAIN BANK AND TRUST,30000-0000003019,,,,
1531,THE FIRST BANK OF CELESTE,30000-0000003133,,,,
1532,SIGNATURE BANK,30000-0000003148,,,,
1533,ELGIN BANK OF TEXAS,30000-0000003185,,,,
1534,FIRST NORTHERN BANK OF DIXON,30000-0000003440,,,,
1535,BANK OF THE WICHITAS,30000-0000004198,,,,
1536,SPRINGS VALLEY BANK & TRUST CO,30000-0000004419,,,,
1537,PONY EXPRESS BANK,30000-0000004526,,,,
1538,HOME BANK & TRUST CO,30000-0000004664,,,,
1539,SECURITY BANK OF KANSAS CITY,30000-0000004705,,,,
1540,FIRST BANK OF NEWTON,30000-0000004738,,,,
1541,SOUTHERN MICHIGAN BANK & TRUST,30000-0000005019,,,,
1542,THE DART BANK,30000-0000005033,,,,
1543,RURAL AMERICAN BANK - BRAHAM,30000-0000005099,,,,
1544,AMERICAN BANK OF NASHWAUK,30000-0000005216,,,,
1545,CITY BANK & TRUST CO.,30000-0000005396,,,,
1546,SOUTHLAND BANK,30000-0000005599,,,,
1547,UNION STATE BANK,30000-0000005602,Union State Bank,1144.0,160.0,100.0
1548,BANK OF STAR CITY,30000-0000005634,,,,
1549,BANK OF GRAVETT,30000-0000005636,,,,
1550,DISCOVER BANK,30000-0000005649,,,,
1551,FIRST COMMUNITY BANK OF P.B.C.,30000-0000005663,,,,
1552,FLORIDA COMMUNITY BANK,30000-0000005672,,,,
1553,CITIZENS BANK OF FROSTPROOF,30000-0000005673,,,,
1554,CENTURY SOUTH BANK,30000-0000005684,,,,
1555,SOUTHEASTERN BANK,30000-0000005685,,,,
1556,GEORGIA CENTRAL BANK,30000-0000005708,,,,
1557,BANK OF CHICKAMAUGA,30000-0000005713,,,,
1558,STATE BANK OF ST. JACOB,30000-0000005730,,,,
1559,KANE COUNTY BANK,30000-0000005738,,,,
1560,HARRIS BANK CARY-GROVE,30000-0000005742,,,,
1561,STATE BANK OF THE LAKES,30000-0000005744,,,,
1562,GERMAN-AMERICAN STATE BANK,30000-0000005749,,,,
1563,PEOPLE'S TRUST COMPANY,30000-0000005766,Peoples Bank & Trust Co,908.0,121.0,96.42311042727499
1564,CITIZENS FIRST STATE BANK,30000-0000005782,,,,
1565,EARLHAM SAVINGS BANK,30000-0000005796,,,,
1566,GREAT RIVER BANK & TRUST,30000-0000005823,,,,
1567,GUARANTY BANK & TRUST,30000-0000005827,Guaranty Bank & Trust Co,537.0,197.0,100.0
1568,PEOPLES BANK MT. WASHINGTON,30000-0000005847,,,,
1569,BANK OF SOUTHERN MARYLAND,30000-0000005863,,,,
1570,NEW WINDSOR STATE BANK,30000-0000005866,New Windsor State Bank,828.0,162.0,100.0
1571,SPARKS STATE BANK,30000-0000005868,,,,
1572,WOODSBORO BANK,30000-0000005873,,,,
1573,THE CHESTERTOWN BANK OF MD.,30000-0000005877,,,,
1574,FREDERICKTOWN BANK & TRUST CO,30000-0000005878,,,,
